AMPHCODE,Year,TaxonCode,Abun
BLU,1993,FU002B,32
BLU,1993,FU002F,1
BLU,1993,ME019A,39
BLU,1993,NA006A,2
BLU,1993,NA158A,5
BLU,1993,NA167A,31
BLU,1993,PI011A,1
BLU,1993,PI015A,2
BLU,1993,PI018A,3
BLU,1993,SE001A,4
BLU,1993,SU006A,3
BLU,1993,TA003A,19
BLU,1993,TA004A,278
BLU,1994,AC022A,1
BLU,1994,BR006A,12
BLU,1994,CM010A,3
BLU,1994,EU002E,2
BLU,1994,EU007A,2
BLU,1994,EU009A,2
BLU,1994,EU011A,7
BLU,1994,EU015A,3
BLU,1994,EU015B,6
BLU,1994,EU040A,2
BLU,1994,EU045A,1
BLU,1994,EU047A,11
BLU,1994,EU048A,13
BLU,1994,EU056A,1
BLU,1994,FU002B,35
BLU,1994,FU002F,1
BLU,1994,HN001A,10
BLU,1994,ME019A,24
BLU,1994,NA006A,2
BLU,1994,NA099A,2
BLU,1994,NA158A,12
BLU,1994,NA167A,41
BLU,1994,NA9999,1
BLU,1994,NE020A,1
BLU,1994,NI002A,1
BLU,1994,PE002A,4
BLU,1994,PI011A,9
BLU,1994,PI012A,1
BLU,1994,PI018A,3
BLU,1994,SU006A,1
BLU,1994,TA003A,18
BLU,1994,TA004A,225
BLU,1995,BR003A,2
BLU,1995,BR006A,9
BLU,1995,CA005A,1
BLU,1995,CM010A,20
BLU,1995,EU002B,1
BLU,1995,EU007A,1
BLU,1995,EU008A,1
BLU,1995,EU009A,5
BLU,1995,EU011A,10
BLU,1995,EU015A,8
BLU,1995,EU015B,3
BLU,1995,EU040A,7
BLU,1995,EU047A,13
BLU,1995,EU048A,14
BLU,1995,EU049A,2
BLU,1995,EU049B,1
BLU,1995,EU051A,1
BLU,1995,FU002B,30
BLU,1995,FU002F,1
BLU,1995,HN001A,5
BLU,1995,ME019A,15
BLU,1995,NA006A,4
BLU,1995,NA006B,1
BLU,1995,NA099A,2
BLU,1995,NA158A,37
BLU,1995,NA167A,52
BLU,1995,NE020A,1
BLU,1995,PE002A,1
BLU,1995,PI011A,2
BLU,1995,PI018A,5
BLU,1995,PI022B,2
BLU,1995,PI9999,3
BLU,1995,TA001A,1
BLU,1995,TA003A,27
BLU,1995,TA004A,218
BLU,1996,BR006A,15
BLU,1996,CM010A,24
BLU,1996,EU002A,2
BLU,1996,EU007A,2
BLU,1996,EU011A,4
BLU,1996,EU015A,10
BLU,1996,EU015B,4
BLU,1996,EU045A,4
BLU,1996,EU047A,16
BLU,1996,EU048A,28
BLU,1996,EU9961,1
BLU,1996,FU002B,48
BLU,1996,ME019A,36
BLU,1996,NA006A,2
BLU,1996,NA099A,2
BLU,1996,NA158A,12
BLU,1996,NA167A,56
BLU,1996,NE020A,1
BLU,1996,PE002A,4
BLU,1996,PI018A,10
BLU,1996,SE001A,14
BLU,1996,SU006A,3
BLU,1996,TA003A,34
BLU,1996,TA004A,81
BLU,1997,BR006A,14
BLU,1997,CM010A,10
BLU,1997,EU002A,2
BLU,1997,EU007A,2
BLU,1997,EU009A,2
BLU,1997,EU011A,7
BLU,1997,EU015A,12
BLU,1997,EU045A,2
BLU,1997,EU047A,9
BLU,1997,EU048A,6
BLU,1997,EU051B,2
BLU,1997,EU056A,3
BLU,1997,EU9961,8
BLU,1997,FU002B,28
BLU,1997,ME019A,47
BLU,1997,NA006A,2
BLU,1997,NA006B,1
BLU,1997,NA099A,2
BLU,1997,NA158A,12
BLU,1997,NA167A,54
BLU,1997,PE002A,1
BLU,1997,PI011A,1
BLU,1997,PI9999,1
BLU,1997,SE001A,2
BLU,1997,TA003A,52
BLU,1997,TA004A,187
BLU,1998,BR001A,1
BLU,1998,BR006A,16
BLU,1998,CM010A,16
BLU,1998,EU011A,2
BLU,1998,EU015A,6
BLU,1998,EU040A,2
BLU,1998,EU047A,13
BLU,1998,EU048A,16
BLU,1998,EU056A,2
BLU,1998,EU9961,2
BLU,1998,EU9999,2
BLU,1998,FU002A,14
BLU,1998,FU002B,6
BLU,1998,FU002F,13
BLU,1998,ME019A,47
BLU,1998,NA006A,2
BLU,1998,NA099A,3
BLU,1998,NA158A,17
BLU,1998,NA167A,80
BLU,1998,PE002A,5
BLU,1998,PI018A,18
BLU,1998,SE001A,40
BLU,1998,SY003A,3
BLU,1998,TA001A,3
BLU,1998,TA003A,26
BLU,1998,TA004A,147
BLU,1999,BR006A,10
BLU,1999,CM010A,17
BLU,1999,CY006D,1
BLU,1999,EU009A,8
BLU,1999,EU011A,3
BLU,1999,EU015A,4
BLU,1999,EU015B,10
BLU,1999,EU047A,10
BLU,1999,EU048A,4
BLU,1999,EU049A,1
BLU,1999,EU9963,1
BLU,1999,EU9999,1
BLU,1999,FU002B,37
BLU,1999,ME019A,48
BLU,1999,NA006A,2
BLU,1999,NA033A,7
BLU,1999,NA158A,13
BLU,1999,NA167A,60
BLU,1999,PI015A,7
BLU,1999,PI9999,7
BLU,1999,SE001A,45
BLU,1999,TA003A,17
BLU,1999,TA004A,218
BLU,2000,BR003A,3
BLU,2000,BR006A,16
BLU,2000,CM010A,8
BLU,2000,EU002A,1
BLU,2000,EU009A,2
BLU,2000,EU015A,3
BLU,2000,EU045A,1
BLU,2000,EU047A,19
BLU,2000,EU048A,18
BLU,2000,EU056A,1
BLU,2000,EU9999,10
BLU,2000,FU002B,31
BLU,2000,FU002F,4
BLU,2000,ME019A,51
BLU,2000,NA006A,6
BLU,2000,NA158A,16
BLU,2000,NA167A,40
BLU,2000,PE002A,8
BLU,2000,PI018A,2
BLU,2000,PI022B,1
BLU,2000,PI023A,1
BLU,2000,PI9999,4
BLU,2000,SE001A,70
BLU,2000,SU006A,2
BLU,2000,TA001A,1
BLU,2000,TA003A,13
BLU,2000,TA004A,183
BLU,2001,AC022A,1
BLU,2001,BR001A,2
BLU,2001,BR006A,21
BLU,2001,CM010A,10
BLU,2001,EU002A,2
BLU,2001,EU007A,2
BLU,2001,EU009A,24
BLU,2001,EU015A,5
BLU,2001,EU047A,27
BLU,2001,EU048A,5
BLU,2001,EU051B,2
BLU,2001,EU056A,1
BLU,2001,EU9999,2
BLU,2001,FU002B,47
BLU,2001,FU002F,1
BLU,2001,ME019A,61
BLU,2001,NA006A,2
BLU,2001,NA158A,19
BLU,2001,NA167A,60
BLU,2001,PE002A,5
BLU,2001,PI018A,2
BLU,2001,PI022B,5
BLU,2001,PI9999,1
BLU,2001,SE001A,103
BLU,2001,SU006A,3
BLU,2001,TA003A,14
BLU,2001,TA003B,2
BLU,2001,TA004A,108
BLU,2002,AC013A,2
BLU,2002,BR006A,33
BLU,2002,CM010A,14
BLU,2002,EU009A,2
BLU,2002,EU015A,3
BLU,2002,EU015B,9
BLU,2002,EU045A,1
BLU,2002,EU047A,34
BLU,2002,EU048A,14
BLU,2002,EU9999,8
BLU,2002,FU002A,5
BLU,2002,FU002B,34
BLU,2002,ME019A,80
BLU,2002,NA006A,6
BLU,2002,NA033A,11
BLU,2002,NA158A,1
BLU,2002,NA167A,67
BLU,2002,NE9999,1
BLU,2002,PE002A,6
BLU,2002,PI018A,1
BLU,2002,PI9999,3
BLU,2002,SE001A,134
BLU,2002,SU006A,1
BLU,2002,TA003A,11
BLU,2002,TA004A,95
BLU,2003,AC022A,2
BLU,2003,BR003A,4
BLU,2003,BR006A,33
BLU,2003,CM010A,13
BLU,2003,EU009A,7
BLU,2003,EU011A,6
BLU,2003,EU015A,5
BLU,2003,EU047A,20
BLU,2003,EU048A,17
BLU,2003,EU051A,9
BLU,2003,EU057A,2
BLU,2003,EU9999,2
BLU,2003,FU002B,26
BLU,2003,FU002F,10
BLU,2003,ME019A,29
BLU,2003,NA140A,3
BLU,2003,NA158A,13
BLU,2003,NA167A,50
BLU,2003,PE002A,2
BLU,2003,PI018A,9
BLU,2003,PI9999,3
BLU,2003,SE001A,161
BLU,2003,TA003A,11
BLU,2003,TA004A,86
BURNMT,1992,AC004A,1
BURNMT,1992,AC013A,61
BURNMT,1992,AC025A,1
BURNMT,1992,AC9964,5
BURNMT,1992,AC9969,2
BURNMT,1992,AM011A,1
BURNMT,1992,AU010A,1
BURNMT,1992,AU9999,1
BURNMT,1992,BR001A,63
BURNMT,1992,BR006A,13
BURNMT,1992,CA005A,1
BURNMT,1992,CM004A,7
BURNMT,1992,CM010A,1
BURNMT,1992,CM013A,2
BURNMT,1992,CM015A,4
BURNMT,1992,CM022A,2
BURNMT,1992,CM031A,4
BURNMT,1992,CM048A,6
BURNMT,1992,CM052A,7
BURNMT,1992,CM103A,1
BURNMT,1992,CY001A,4
BURNMT,1992,CY006A,15
BURNMT,1992,CY006D,102
BURNMT,1992,CY019A,4
BURNMT,1992,DE001A,3
BURNMT,1992,EU002B,7
BURNMT,1992,EU002C,2
BURNMT,1992,EU007A,1
BURNMT,1992,EU011A,1
BURNMT,1992,EU013A,2
BURNMT,1992,EU017A,3
BURNMT,1992,EU047A,4
BURNMT,1992,EU048A,2
BURNMT,1992,EU049A,6
BURNMT,1992,EU049B,1
BURNMT,1992,EU050A,1
BURNMT,1992,EU051A,4
BURNMT,1992,EU9974,1
BURNMT,1992,EU9999,10
BURNMT,1992,FR005D,68
BURNMT,1992,FR9999,4
BURNMT,1992,FU002B,22
BURNMT,1992,FU002F,3
BURNMT,1992,GO003A,1
BURNMT,1992,GO004A,6
