"","res.TP","res.ANC","res.TPANC","res.anova"
"MR001A",0.464646464646465,0.121212121212121,0.333333333333333,0.0400916433527084
"NA003A",0.0101010101010101,0.0303030303030303,0.919191919191919,2.21947162019197e-06
"NA005A",0.585858585858586,0.0202020202020202,0.0202020202020202,0.352048805962296
"NA006A",0.0101010101010101,0.0101010101010101,0.0101010101010101,1.52506054350818e-42
"NA007A",0.151515151515152,0.191919191919192,0.767676767676768,0.00826795128553164
"NA007B",0.101010101010101,0.373737373737374,0.585858585858586,0.0846597579059225
"NA008A",0.323232323232323,0.272727272727273,0.454545454545455,0.10057679569896
"NA009A",0.0303030303030303,0.434343434343434,0.94949494949495,0.00219084330404432
"NA013A",0.0404040404040404,0.0202020202020202,0.0202020202020202,0.262614686053077
"NA014A",0.424242424242424,0.222222222222222,0.323232323232323,0.212356140231561
"NA016A",0.646464646464647,0.101010101010101,0.0404040404040404,0.858916543164974
"NA021A",0.0505050505050505,0.707070707070707,0.96969696969697,2.16897856826069e-05
"NA022A",0.212121212121212,0.424242424242424,0.606060606060606,0.0317201657681218
"NA023A",0.0101010101010101,0.0101010101010101,0.0303030303030303,0.0829782708140905
"NA024A",0.202020202020202,0.0606060606060606,0.464646464646465,2.00044062048856e-15
"NA028A",0.292929292929293,0.0505050505050505,0.0303030303030303,0.00190974223876714
"NA029A",0.161616161616162,0.333333333333333,0.94949494949495,0.000123953367744607
"NA030A",0.0303030303030303,0.0101010101010101,0.0101010101010101,0.324987881936584
"NA032A",0.0101010101010101,0.0202020202020202,0.0303030303030303,0.000434136836895022
"NA037A",0.0101010101010101,0.0101010101010101,0.0101010101010101,0.00816394476595178
"NA042A",0.888888888888889,0.0101010101010101,0.0101010101010101,0.280467510742626
"NA045A",0.0606060606060606,0.0404040404040404,0.121212121212121,0.00115229759679632
"NA050A",0.717171717171717,0.626262626262626,0.393939393939394,0.100492049684905
"NA055A",0.414141414141414,0.0606060606060606,0.0606060606060606,0.0001285525617154
"NA056A",0.111111111111111,0.141414141414141,0.171717171717172,0.171933490053416
"NA057A",0.404040404040404,0.121212121212121,0.242424242424242,0.00678729399090732
"NA063A",0.868686868686869,0.424242424242424,0.121212121212121,0.841394402070022
"NA064A",0.0808080808080808,0.272727272727273,0.909090909090909,0.000360861944518479
"NA066A",0.0404040404040404,0.0202020202020202,0.0606060606060606,0.000979753092410103
"NA071A",0.393939393939394,0.181818181818182,0.161616161616162,0.0113378704322314
"NA079A",0.707070707070707,0.141414141414141,0.0606060606060606,0.548145056203242
"NA080A",0.111111111111111,0.474747474747475,0.909090909090909,8.79603441648267e-05
"NA082A",0.95959595959596,0.363636363636364,0.434343434343434,0.00909076117497296
"NA083A",0.333333333333333,0.141414141414141,0.353535353535354,0.00742689318299847
"NA084A",0.909090909090909,0.545454545454545,0.212121212121212,0.544013656830166
"NA095A",0.0606060606060606,0.0404040404040404,0.101010101010101,3.26062950182348e-06
"NA113A",0.545454545454545,0.0505050505050505,0.0303030303030303,0.579460943255343
"NA114A",0.363636363636364,0.414141414141414,0.838383838383838,0.0175294212699254
"NA168A",0.95959595959596,0.666666666666667,0.272727272727273,0.412509781230456
"NA429A",0.272727272727273,0.777777777777778,0.767676767676768,0.117953431091051
"NA675A",0.151515151515152,0.414141414141414,0.808080808080808,3.28216604937374e-18
